nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand
FIESTA CHICKEN NUGGET DINO 500GR,49000,Frozen Al Fatih,Jakarta Timur,50,5.0,Fiesta
Fiesta Chessy Lovers Nugget [500 g],69930,HALO MURAH,Makassar,1,5.0,Fiesta
akumo nugget 1kg,14000,HS by Hansu,Jakarta Barat,100,5.0,Fiesta
Fiesta Mixed Vegetable Nugget 500gr (Naget Ayam Isi Sayuran),64000,Orient Food,Surabaya,19,5.0,Fiesta
Fiesta Chicken Nugget 500gr,53000,MajuMakmurFrozenFood,Kab. Karawang,7,5.0,Fiesta
Akumo Naget Ayam 500 gram - Satu Pabrik dengan Fiesta Chicken Nugget,22400,ANEKA BOGA FROZEN FOOD,Jakarta Timur,17,5.0,Fiesta
FIESTA NUGGET CRISPY BUBBLE 500g,43000,Madina Frost,Kab. Tangerang,70,5.0,Fiesta
fiesta chicken nugget cheese garlic stikir cheese lover volcano sosis,30500,CM FROZEN,Jakarta Utara,250,4.9,Fiesta
Fiesta Chicken Nugget 500gr,52400,Brother Meat Shop,Depok,250,4.9,Fiesta
FIESTA NUGGET DINO 500 GR,49600,Zahra Froz,Jakarta Timur,250,5.0,Fiesta
Fiesta Chicken Nugget 500gr,58711,Ferry Fish,Tangerang Selatan,100,4.9,Fiesta
Fiesta Nugget Bubble Crispy 500gr,47000,MajuMakmurFrozenFood,Kab. Karawang,8,5.0,Fiesta
FIesta Stikie 500gr (Naget Ayam bentuk Stik),51500,Orient Food,Surabaya,100,5.0,Fiesta
Fiesta Nugget Pizza ABC 500gr,52000,MajuMakmurFrozenFood,Kab. Karawang,2,5.0,Fiesta
Fiesta Cheesy Lover (Nuget ayam bentuk hati isi keju),63500,Orient Food,Surabaya,100,4.9,Fiesta
Nugget Stikie Fiesta 250gr Naget Ayam Bentuk Stik,29600,Citra Rasane Food,Jakarta Barat,100,5.0,Fiesta
Fiesta Nugget Happy Star 500 Gr,52500,Prima Freshmart,Jakarta Selatan,14,5.0,Fiesta
Fiesta Chicken Nugget 500gr,48300,Lancar FreshMart,Jakarta Utara,3000,5.0,Fiesta
fiesta nuget ayam stikie 500gr,48500,INDO FROZEN,Bekasi,500,5.0,Fiesta
Fiesta Chicken Nugget 500gr,47000,Kebab Mini Frozen Food,Jakarta Timur,1000,5.0,Fiesta
Fiesta Cheesy Lover Nuget isi Keju,63000,INDO FROZEN,Bekasi,250,5.0,Fiesta
FIESTA VOLCANO CHEESE 500GR NUGGET AYAM ISI KEJU JAMUR SAYUR HALAL,60500,LatteBless,Jakarta Selatan,100,5.0,Fiesta
Fiesta Cheese 123 500 gram Naget Ayam rasa Keju daging ayam keju 1 2 3,46800,ANEKA BOGA FROZEN FOOD,Jakarta Timur,70,5.0,Fiesta
Nuget fiesta crispy buble 500 gram,41000,endul shop,Kab. Bekasi,18,5.0,Fiesta
Chicken Katsu Roku Bento BSD isi 4 Pcs Frozen Nugget,60000,Roku Bento BSD,Tangerang Selatan,2000,5.0,Fiesta
