rating,review
5,Dr seller tdk ada masalah cm masalah di ekspedisi. Pake anteraja. Sameday tp nyampe nya di besok nya lagi.. ampun deh sampe ngoceh2 ke pihak anteraja nya
5,langganann
5,langganaann
5,Proses cepat dan barang sesuai deskripsi
5,Proses cepat dan barang sesuai deskripsi
5,Proses cepat dan barang sesuai deskripsi
5,Proses cepat dan barang sesuai deskripsi
5,Harga gak boong. Best of best untuk sosis terbaik di Indonesia
5,mantullll
5,"slalu jadi varian kanzler nuget favorit kita semua, lebih crispy sm ini seller recommended"
5,"pertama kali order disini, puwas banget, pengiriman jg cepet. produk memang ori"
5,Enak!
5,Rasanya daging banget sosis enak kayak di hotel
5,"Fast response dan sesuai dengan pesanan, Terima Kasih yaaaa"
5,Fast response! Sesuai dengan request Terima Kasih yaaaa
3,Ada rambutnya :(
5,"Brg bagus, harga murah, respon pengiriman cepat"
5,barang sudah sampai sesuai pesanan tks
5,"Brg bagus, harga murah, respon pengiriman cepat"
5,"kualitas bagus, expired masih jauh 👍🏼👍🏼"
5,"kualitas bagus, expired masih jauh 👍🏼👍🏼"
5,"kualitas bagus, expired masih jauh 👍🏼👍🏼"
5,Brg bagus harga murah dan pengiriman cepat
1,
5,Maknyuuuss
4,Krispi di nuggetnya pada lepas
5,Mantaab..pengiriman cepat
5,"pengiriman cepat.. siang bayar, sore dah sampai"
5,"pengiriman sangat cepat.. siang bayar, sore dah sampai"
5,Original dan pengiriman sesuai dengan permintaan. Recomended
5,Repeat order ke sekian. Mantap.
5,Favorit banget. Selalu restok buat di rumah.
5,Top lah dan langganan
5,"sosis yg enak utk sarapan pagi, ngga kecewa dekh...."
5,"Udah takut ajah basi karena pengiriman mundur akibat kmrn hujan cuaca buruk dan macet seluruh jakarta, dimaklumi saya pun terjebak macet 3 jam . Dan ternyata enggak basi... "
5,"Udah takut ajah basi karena pengiriman mundur akibat kmrn hujan cuaca buruk dan macet seluruh jakarta, dimaklumi saya pun terjebak macet 3 jam . Dan ternyata enggak basi... "
5,Terima kasih seller untuk paketnya sudah sampai di tempat saya
5,Terima kasih seller untuk paketnya sudah sampai di tempat saya
5,"rasa oke, 
makasih ya  
sukses selalu"
5,Sesuai deskripsi
5,"crunchy,  anak2 doyan. 
recommend, 
sbg tambahan lauk."
5,"repeat order, praktis utk bekal anak .
makasih ya"
2,
2,
5,Barang sdh diterima... sesuai deskripsi dan pengirimannya sangat cepat... tq yaa 😉
5,Barang sdh diterima... sesuai deskripsi dan pengirimannya sangat cepat... tq yaa 😉
5,"sesuai deskripsi, exp date masih jauh dan packing safe overall, pengiriman cukup cepat, Terima kasih seller n Toped"
5,"sesuai deskripsi, exp date masih jauh dan packing safe overall, pengiriman cukup cepat, Terima kasih seller n Toped"
5,"sesuai deskripsi, exp date masih jauh dan packing safe overall, pengiriman cukup cepat, Terima kasih seller n Toped"
5,Kanzler Crispy Chicken rasanya enak gurih. Penjual responnya cepat dan sudah diterima. Terima kasih.
5,bagus produk nya
5,Anak2 cocok.
5,"pengiriman cepat ,isinya imut² sebesar kelingking, exp 1 THN lagi, thx"
5,"pengiriman cepat, exp masih 1 THN lagi,thx"
5,Sosisnya enak semua
5,Sosisnya enak semua
5,Sosisnya enak semua
5,Sosisnya enak semua
5,Sosisnya enak semua
5,Sosisnya enak semua
5,"Semua sosisnya enak, tapi ini favorit gue"
5,Sosisnya enak semua
5,Sosisnya enak semua
5,Sosisnya enak semua
5,Sosisnya enak semua
5,"isiannya lembut. anak2 suka,baluran bagian luarnya Kriuk. 
makasih ya"
5,Pengiriman cepat. Pakai kurir instan. Sosis di terima masih keadaan beku. Terima kasih Seller
5,Pengiriman cepat. Pakai kurir instan. Sosis di terima masih keadaan beku. Terima kasih Seller
5,pengiriman cepat. barang sampai dalam kondisi baik.
5,pengiriman cepat. barang sampai dalam kondisi baik.
5,Kanzler Crispy Chicken Nugget 450gr sudah diterima. ongkos kirim gratis dikirim pagi diterima malam hari.
5,Enak bgt! Pengiriman super cepat!
5,Enak bgt! Pengiriman super cepat!
5,"ga usa diragukan lagi, enak bangetttt⭐⭐⭐⭐"
5,Udah langganan dan cara cpt dan praktis menyediaian mknan buat keluarga tercinta😘
5,Langsung masuk freezer utk disimpan. Repeat order karena anak pun suka (biasanya ya doyan yang lain).
5,Maaf tlt konfirmasi. Sdh langganan. Enak sihhh 😍
5,Maaf tkt konfirmasi. Sdh langganan
5,enak gan
5,"selalu puas belanja disini,seller fast respon,barang yg di terima juga dalam kondisi bagus."
5,maaksih
5,maakasih
4,"produk bagus, tapi jangan pilih kurir anteraja kalau di gedung kantor soalnya sampenya mlm, kbtulan punya ku sampe jumat mlm dan akhirnya dikirim ulang senin jd udh mau b... "
5,"pengiriman cepat,produk aman..recommended"
5,"Beli 4 packs Kanzler Crispy Chicken Nugget 450gr sudah diterima. pake ongkos kirim gratis, sehari nyampe. excellent."
5,"brg bagus, harga murah, respon pengiriman cepat"
5,"brg sesui deakripsi,packing rapi & pengiriman c"
5,bagus 👍
5,"terima kasih, paket sudah diterima dgn baik 🙏🥰⭐⭐⭐⭐⭐"
5,Thank you. Blm dicoba tapi Keliatannya enak nih... pengiriman cepat dan packing aman!
5,"enyaaakkk bangeeeetttt 
highly recommended"
1,"Abang gojek minta duit lg 
Ktnya seller ga mau bayar parkirnya"
5,njos lah pokoknya
5,mantep lah pokoknye
5,Kanzler Sosis Singles Original 65gr sudah diterima. terima kasih.
5,Kanzler Beef Cocktail 250gr sudah diterima. terima kasih.
5,Kanzler Crispy Chicken Nugget sudah diterima. terima kasih.
5,barang sudah sampai dan kondisinya sangat baik
5,barang sudah sampai dan kondisinya sangat baik
5,oke banget
5,thanks ya..enak dan rengah nuggets..nya..
5,thanks ya sdh diterima..
5,recommended
