nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand
Kanzler crispy chicken nugget ayam renyah 450gr,41500,Bright Frozen Food,Jakarta Pusat,10000,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450 gr,38000,Toko Kuliner Jakpus,Jakarta Pusat,100,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450 GR,38800,Zahra Froz,Jakarta Timur,10000,5.0,Kanzler
KANZLER Crispy Chicken Nugget 450 gr,38700,Dilla Frozen Food,Bekasi,4000,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450GR,39500,Bentang Frozen,Tangerang Selatan,3000,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450GR,39999,Lancar FreshMart,Jakarta Utara,2000,5.0,Kanzler
Sosis Kanzler Beef Frankfurter,27999,Orient Food,Surabaya,750,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450 gr,44290,SAJI Frozen&Snack,Jakarta Barat,250,5.0,Kanzler
BEST SELLER KANZLER - Sosis & Chicken Nugget Frozen Ready to Cook!,35625,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,250,4.9,Kanzler
Kanzler Chicken Nugget Stick Crispy 450gr,42230,SAJI Frozen&Snack,Jakarta Barat,100,4.9,Kanzler
KANZLER NUGGET CRISPY 450G HARUS INSTAN KURIR,44900,LOTTE Mart Official,Jakarta Selatan,2000,5.0,Kanzler
Kanzler Crispy Nugget 450G,15000,HokTung Mart,Jakarta Utara,2000,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450gr | naget kanjler kenjler viral,37500,Kanzler RS Froz,Jakarta Timur,2000,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick 450gr,39500,Bentang Frozen,Tangerang Selatan,500,5.0,Kanzler
Kanzler Crispy Chicken Nugget / Nugget Ayam / Naget Ayam Krispi 450gr,45900,Bliss Kitchen Jakarta,Jakarta Pusat,1000,5.0,Kanzler
Chicken Nugget Kanzler Nugget Frozen food Makanan beku 450g,39000,SinarMurni,Jakarta Pusat,750,4.9,Kanzler
CRISPY CHICKEN STICK KANZLER 450GR NAGET STIK AYAM KRISPI HALAL,38950,LatteBless,Jakarta Selatan,1000,4.9,Kanzler
Kanzler Crispy Chicken Nugget 450 Gram / Kazler Promo / Halal,40000,Ohayo Bento New,Jakarta Timur,1000,5.0,Kanzler
kanzler crispy chicken nugget,38900,Toko Nalisma,Jakarta Selatan,8000,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick,37300,phyphy_frozen,Jakarta Barat,100,4.9,Kanzler
kanzler crispy chicken nugget,39000,Ratih Frozen Food,Depok,250,5.0,Kanzler
Kanzler chicken nugget / nugget ayam premium / naget ayam kanzler,41900,Multi food jakarta,Jakarta Utara,250,5.0,Kanzler
Best Seller Kanzler - Premium Sosis Kanzler & Crispy / Chicken Nugget,35625,Kuka Kuka Meat Shop Bekasi,Bekasi,50,5.0,Kanzler
Kanzler Chicken Cordon Blue isi 2pcs 300gram,45600,Kuka Kuka Meat Shop,Jakarta Utara,24,4.5,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450gr / 450 gr,39500,Wiralel,Tangerang,5000,5.0,Kanzler
Chicken Nugget Kanzler Original 450Gr,40900,Frostmart,Jakarta Utara,250,5.0,Kanzler
CHICKEN NUGGET KANZLER 450 gr,37300,phyphy_frozen,Jakarta Barat,250,5.0,Kanzler
KANZLER Crispy Chicken Nugget Stick 450 gr,38700,Dilla Frozen Food,Bekasi,250,4.9,Kanzler
Kanzler Beef Cocktail 250gr | Kanjler Sosis Kecil Kenzler Sapi,25100,Kanzler RS Froz,Jakarta Timur,100,4.9,Kanzler
Kanzler Chicken Cordon Bleu 900gr Gordon Blue 6pcs,122600,HokTung Mart,Jakarta Utara,500,5.0,Kanzler
