nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand,product_category
Kanzler Chicken Cordon Bleu 900gr Gordon Blue 6pcs,122600,HokTung Mart,Jakarta Utara,500,5.0,Kanzler,Other
Kanzler Chicken Nugget Original Premium | Naget Ayam Berbumbu (450 gr),41500,Hijrahfood Meatshop,Jakarta Barat,1000,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450 GR,39700,Madina Frost,Kab. Tangerang,3000,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Crispy 450 gram,41000,Rahmatika Freshmart,Tangerang Selatan,2000,5.0,Kanzler,Nugget
Crispy Chicken Nugget Stick Kanzler Crispy Nugget Stik 450g,40000,SinarMurni,Jakarta Pusat,100,4.7,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET STICK 450GR,39999,Lancar FreshMart,Jakarta Utara,100,5.0,Kanzler,Nugget
kanzler crispy chicken nugget,40900,Aishakira online,Jakarta Timur,5000,5.0,Kanzler,Nugget
Kanzler nugget crispy stick 450gr,38500,Toko DFF,Jakarta Selatan,100,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450Gr,41500,Frostmart,Jakarta Utara,2000,5.0,Kanzler,Nugget
kanzler nuget crispy,39500,KING DURIAN84,Depok,3000,5.0,Kanzler,Nugget
KANZLER Chicken Nugget Original 450gr,37500,Kanzler RS Froz,Jakarta Timur,500,5.0,Kanzler,Nugget
Kanzler nuget stik crispy 450gr,37900,AZEINN,Jakarta Selatan,250,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450 GR,37890,IstanaFurniture,Bekasi,250,5.0,Kanzler,Nugget
kanzler nugget premium 450gr,38500,mise frozen foods,Tangerang Selatan,40,4.6,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,42900,Brother Meat Shop,Depok,9000,5.0,Kanzler,Nugget
KANZLER Chicken Nugget 450 gr,38200,Dilla Frozen Food,Bekasi,500,5.0,Kanzler,Nugget
CRISPY CHICKEN NUGGET KANZLER 450GR NAGET AYAM KRISPI HALAL,38500,LatteBless,Jakarta Selatan,8000,4.9,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick Naget Ayam Krispi Bubble Crispy ,41500,lita frozen food,Jakarta Utara,100,5.0,Kanzler,Nugget
Kanzler Smoked Beef / Daging Sapi Asap Kanzler 250gr,37900,Bliss Kitchen Jakarta,Jakarta Pusat,1000,5.0,Kanzler,Other
Kanzler Chicken Nugget Nuget Crispy Krispy Krispi Naget 450g,15833,deposusuofficial,Jakarta Barat,2000,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET PREMIUM ORIGINAL 450GR,39500,Bentang Frozen,Tangerang Selatan,500,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),39500,Hijrahfood Meatshop Bekasi,Bekasi,1000,5.0,Kanzler,Nugget
Kanzler Chicken Nugget 450gr | Nugget Ayam,38000,Toko DFF,Jakarta Selatan,500,5.0,Kanzler,Nugget
"Kanzler Crispy Chicken Nugget Stick 450gr, Halal",43500,Brother Meat Shop,Depok,100,5.0,Kanzler,Nugget
Kanzler Smoked Beef Ham Slice Round | Daging Sapi Asap (250 gr),37500,Hijrahfood Meatshop,Jakarta Barat,1000,5.0,Kanzler,Other
KANZLER CRISPY CHICKEN NUGGET STICK 450GR,39000,Frozen Al Fatih,Jakarta Timur,100,5.0,Kanzler,Nugget
Kanzler Crispy Chiken Nugget 450 gr,42000,Ngehits Frozen,Jakarta Timur,80,5.0,Kanzler,Nugget
Chicken Nugget Kanzler/Crispy Chicken Nugget Kanzler/Chicken Nugget,26900,Kitaransa Frozen,Jakarta Timur,250,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 120 Gram,15900,KedaiMart Official Store,Jakarta Utara,20,5.0,Kanzler,Nugget
Kanzler Sosis Beef Cocktail 500gr,52300,Naturallyoufm,Jakarta Utara,500,5.0,Kanzler,Sausage
Kanzler Crispy Chicken Nugget 120gr - 1 Pack,13775,Kuka Kuka Meat Shop,Jakarta Utara,60,5.0,Kanzler,Nugget
Kanzler Beef Cocktail Sausage | Sosis Sapi Breakfast Original (500 gr),56900,Hijrahfood Meatshop,Jakarta Barat,2000,5.0,Kanzler,Sausage
KANZLER CRISPY CKN NUGGET 450 Gr,41400,rajawalisosisbaso,Bandung,100,5.0,Kanzler,Nugget
