nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand,product_category
Kanzler Chicken Cordon Bleu 300gr,49600,Juragan Daging Indonesia,Jakarta Selatan,13,5.0,Kanzler,Other
KANZLER Chicken Nugget Premium 450gr,42000,Anugrah_Frozen,Depok,250,5.0,Kanzler,Nugget
STICK nugget Kanzler Crispy 450 gram,41000,Via Frozen Food,Jakarta Timur,10,5.0,Kanzler,Nugget
Naget Kanzler Crispy 450g,41000,mulia frozen food,Surabaya,750,5.0,Kanzler,Other
Kanzler Chicken Cordon Bleu Box 2pcs,47000,AA Ice Cream dan Susu,Tangerang Selatan,90,4.9,Kanzler,Other
Kanzler Crispy Bubble Chicken Nugget 120gr,17000,GUDANG-MAKANAN,Jakarta Utara,21,5.0,Kanzler,Nugget
kanzler nugget crispy,39540,Sinomurus Frozen,Jakarta Selatan,40,5.0,Kanzler,Nugget
Kanzler Beef Cocktail 18pcs 250gr,26000,AA Ice Cream dan Susu,Tangerang Selatan,100,4.9,Kanzler,Other
crispy chicken nugget kanzler 450 gram,47500,Dutarasameatshop,Surakarta,100,5.0,Kanzler,Nugget
Chicken Cordon Bleu Kanzler 900gr,123000,Kebab Mini Frozen Food,Jakarta Timur,30,5.0,Kanzler,Other
Kanzler Cordon Bleu 300gr,49600,Brother Meat Shop,Depok,250,5.0,Kanzler,Other
Kanzler Chicken Nugget 450g,40000,ramadhani_collections,Bandung,250,5.0,Kanzler,Nugget
nugget naget nuget ayam krispi crispy kanzler 120 gr chicken,16500,AdeShopmart,Kab. Sleman,21,5.0,Kanzler,Nugget
Kanzler Beef Cocktail Sausage 250 gram,28000,PopulerCollection,Surabaya,50,5.0,Kanzler,Sausage
Kanzler Crispy Chicken Nugget 450gram,40000,Fauzan Frozen Food and Snack,Bekasi,40,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450 GRAM,41950,Gemari Kitchen,Jakarta Utara,100,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,41500,Selios Meat Shop,Bekasi,1,5.0,Kanzler,Nugget
kanzler chicken nugget 450gr,39000,Elbarra Arabian store,Bandung,23,5.0,Kanzler,Nugget
KANZLER BOCKWURST / SOSIS SAPI DAN AYAM 1KG,120000,Lancar FreshMart,Jakarta Utara,750,5.0,Kanzler,Sausage
Kanzler Chicken Nugget / Naget Ayam with crispy bubble crumb,45900,floral gallery,Kab. Karawang,22,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Premium 450gr,49990,Master daging,Jakarta Utara,100,5.0,Kanzler,Nugget
Kanzler crispy nugget 120 gram,15500,anto frozen food,Tangerang,19,5.0,Kanzler,Nugget
sosis kanzler singles mini 65 gr,7499,Dapur C'Uwhie,Jakarta Barat,4000,4.9,Kanzler,Sausage
kanzler crispy chicken nugget 450gr,43900,Rezeki Frozen,Jakarta Utara,50,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Original 450gr,41000,3Key Frozen,Tangerang,70,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET,43000,J_COW,Kab. Bogor,18,5.0,Kanzler,Nugget
KANZLER SINGLES BAKSO PEDAS 55GR HOT MEATBALL SINGLE HALAL,7500,LatteBless,Jakarta Selatan,500,4.8,Kanzler,Meatball
Kanzler Crispy Chicken Nugget Beku Frozen 450 gr,40950,Happy fresh frozen,Tangerang Selatan,40,4.9,Kanzler,Nugget
Kanzler Chicken Nugget 450 gram Sayurbox,60000,Sayurbox,Jakarta Selatan,100,5.0,Kanzler,Nugget
Sosis Singles Gochujang Siap Makan - KANZLER,7480,Istana Frozen Mart,Bandung,19,5.0,Kanzler,Sausage
kanzler crispy chicken nugget 450gr,44000,NeoStoreYogyakarta,Yogyakarta,7,4.6,Kanzler,Nugget
KANZLER CHICKEN NUGGET CRISPY 450 GR,54750,Hypermart Villa Melati,Tangerang Selatan,100,4.8,Kanzler,Nugget
kanzler crispy chicken nugget,39000,Toko berlian sentosa,Tangerang,100,5.0,Kanzler,Nugget
Kanzler Beef Cocktail Sausage 250gr,26500,Elang Frozen,Bekasi,500,5.0,Kanzler,Sausage
Kanzler Crispy Chicken Nugget / Nugget Ayam / Naget Ayam Krispi 450gr - 450GR 1PCS,45900,Bliss Kitchen Tangerang,Tangerang,100,5.0,Kanzler,Nugget
KANZLER PREMIUM SOSIS SAPI COCKTAIL KANZLER COCKTAIL BEEF SAUSAGE 500G,53600,Bentang Frozen,Tangerang Selatan,250,5.0,Kanzler,Sausage
Crispy Chicken Nugget Ayam Kanzler 450gr 10pack,40488,Cemerlang Teknik,Tangerang,50,5.0,Kanzler,Nugget
KANZLER SOSIS SINGLES ORIGINAL - BRONTZ JOGJA,7950,BRONTZ JOGJA,Yogyakarta,28,4.8,Kanzler,Sausage
KANZLER CRISPY CHICKEN NUGGET 450 GR,14000,Gunung Batu Frozen Food,Bandung,1000,5.0,Kanzler,Nugget
Kanzler Sosis Beef Coctail 250 Gtam,27000,Syafira Susu,Jakarta Barat,100,5.0,Kanzler,Sausage
KANZLER SOSIS BEEF COCKTAIL SAUSAGE 250 GR26000,28620,pelangi girls naget,Jakarta Timur,250,5.0,Kanzler,Sausage
Kanzler Crispy Chicken Nugget Stick 450gr,47950,Kuka Kuka Shop,Jakarta Barat,11,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET STICK 450GR/NAGET AYAM STIK KRISPI,41000,mise frozen foods,Tangerang Selatan,11,5.0,Kanzler,Nugget
[PROMO!!] Sosis Kanzler Singles 65 gr satuan - sosis siap makan baso n,7777,JM Snacks,Bandung,750,4.9,Kanzler,Sausage-Meatball
Kanzler Sosis Ayam Rasa Keju - Cheese Cocktail 500 gram,44500,Rahmatika Freshmart,Tangerang Selatan,100,4.9,Kanzler,Sausage
Kanzler - SINGLES SOSIS 65gr - 1 pc Sosis Siap Makan,7000,saleseason_by_summer,Medan,100,5.0,Kanzler,Sausage
Kanzler Smoked BEEF - smokebeef 250gr,36900,Aishakira online,Jakarta Timur,1000,5.0,Kanzler,Other
KANZLER BOCKWURST 360 GR / SOSIS SAPI ,45000,Racik Indonesia,Bandung,2,5.0,Kanzler,Sausage
Kanzler Sosis Singles Hot 65 Gram,10600,KedaiMart Official Store,Tangerang,100,4.8,Kanzler,Sausage
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,54230,Foodmart Semanggi,Jakarta Selatan,17,5.0,Kanzler,Nugget
KANZLER - Crispy CHICKEN NUGGET & Original Premium CHICKEN NUGGET,50999,saleseason_by_summer,Medan,30,5.0,Kanzler,Nugget
Frozen Food Kanzler Chicken Nugget Crispy 450 gr,40500,cinsshops,Jakarta Pusat,100,4.7,Kanzler,Nugget
Chicken Nugget Double Crispy Kanzler 450gr,47500,Ratu Daging Jakpus,Jakarta Utara,100,5.0,Kanzler,Nugget
GARLIC FRANKFURTER KANZLER 300GR/6PCS SOSIS SAPI BAWANG PUTIH HALAL,38900,LatteBless,Jakarta Selatan,250,5.0,Kanzler,Sausage
KANZLER CHICKEN NUGGET CRISPY 450 GR,55300,Hypermart Cibubur Junction,Jakarta Timur,100,4.8,Kanzler,Nugget
Kanzler Beef Cocktail Sausage - Sosis Sapi Breakfast Original (250 gr),28900,Hijrahfood Meatshop Jaksel,Jakarta Selatan,100,4.9,Kanzler,Sausage
KANZLER BEEF COCKTAIL 1KG / SOSIS KANZLER BEEF COKCTAIL ISI 80PCS,116000,Lancar FreshMart,Jakarta Utara,250,5.0,Kanzler,Sausage
Kanzler Smoke Beef - 250 gr,35500,King Fatih Shop,Jakarta Timur,6,5.0,Kanzler,Other
kanzler bockwurst 360 gr,39000,AZEINN,Jakarta Selatan,250,5.0,Kanzler,Other
Nugget Kanzler,41500,stokis mawar,Jakarta Utara,50,5.0,Kanzler,Nugget
KANZLER Chicken Cordon Bleu 300gr,46000,ARH Frozen Stockist,Surabaya,250,5.0,Kanzler,Other
Sosis Ayam Cheese Cocktail Kanzler 500Gr,52000,Rhyza Olshop,Surabaya,7,5.0,Kanzler,Sausage
Kanzler Chicken Nugget Naget Ayam Premium 450 gr,47850,Seven Days Healthy Frozen Store,Jakarta Timur,80,5.0,Kanzler,Nugget
KANZLER PREMIUM CHICKEN NUGGET / NAGET AYAM @450gr,50000,Dagingsegar38,Jakarta Selatan,21,4.9,Kanzler,Nugget
"JOFRANS - Nugget AYAM / KRISPY Original, BUKAN Kanzler CRISPY . 1 KG",39990,abcXshop,Jakarta Timur,18,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET CRISPY 450gr,14900,Mikie Frozen Food,Malang,250,5.0,Kanzler,Nugget
KANZLER Crispy Chicken Nugget 120gr,15000,Anugrah_Frozen,Depok,26,5.0,Kanzler,Nugget
Kanzler Crispy Bubble Chicken Nugget 120gr,17500,ALADIN SUPPLIER,Jakarta Utara,11,5.0,Kanzler,Nugget
Kanzler Crispy Nugget 450gr,42500,Ola Frozenfood,Jakarta Selatan,100,5.0,Kanzler,Nugget
Kanzler Smoked Beef Daging Asap Smoked Beef kanzler Frozen food 1000g,125000,SinarMurni,Jakarta Pusat,21,4.8,Kanzler,Other
nugget kanzler crispy bentuk STICK 450gr,43000,MBA Frozen Food,Surabaya,30,5.0,Kanzler,Nugget
kanzler german bratwurst 360gr,43000,Cafe Frozen,Surabaya,40,5.0,Kanzler,Other
Kanzler Black Pepper Frankfurter (Sosis Sapi Lada Hitam)300 gram,36000,Indah Frozen Food,Surabaya,100,4.9,Kanzler,Sausage
Kanzler Crispy Chicken Nugget,53000,Segar Laut Meat & Fish Supplier,Jakarta Barat,40,5.0,Kanzler,Nugget
Kanzler chicken nugget / nugget ayam premium / nugget ayam kanzler,41900,Fresh Multi,Jakarta Utara,100,5.0,Kanzler,Nugget
Kanzler chicken nugget original 450 gr,42000,Rumah-Sosis,Depok,100,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Crispy (Naget Ayam Krispi) Kemasan 450gram,45500,Dunia Frozen Food & Meat,Palembang,29,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,54230,Foodmart Atrium Senen,Jakarta Pusat,15,5.0,Kanzler,Nugget
kanzler nugget crispy 450gr,41500,FR FROZEN MART,Kab. Bogor,80,5.0,Kanzler,Nugget
Sosis Kanzler Single Mini 65gr 1 Box (Isi 12),86500,Frogo Markett,Jakarta Utara,100,5.0,Kanzler,Sausage
Nugget Ayam | Chicken Crispy Nugget 450gr KANZLER,38750,Tokoaina Frozenfood,Bekasi,24,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,54250,Hypermart Gajah Mada,Jakarta Pusat,24,5.0,Kanzler,Nugget
Kanzler Beef Cocktail Sausage Sosis Sapi Kanzler 500 gram,55000,lita frozen food,Jakarta Utara,500,5.0,Kanzler,Sausage
chicken cordon bleu kanzler 300gram,46000,tokoflashsalemodernland,Tangerang,50,5.0,Kanzler,Other
Kanzler Chesee,45000,Anugerah Foods,Tangerang,1,5.0,Kanzler,Other
kanzler sosis original singles 65gr/pcs,8500,beatmeatshop,Jakarta Barat,14,5.0,Kanzler,Sausage
Kanzler Premium Sosis / Saussage Cheese Frankfurter - 360gram,49875,Kuka Kuka Meat Shop Tangerang,Tangerang Selatan,11,5.0,Kanzler,Sausage
Kanzler Premium Sosis | Garlic Frankfurter 300gr,43225,Kuka Kuka Meat Shop Tangerang,Tangerang Selatan,3,5.0,Kanzler,Sausage
Sosis Kanzler Blackpepper Frankfurter Beef Sausage 300gr,39900,Bliss Kitchen Bekasi,Bekasi,90,5.0,Kanzler,Sausage
kanzler smoked beef 250 gr,38900,Rezeki Frozen,Jakarta Utara,7,5.0,Kanzler,Other
Crispy Chicken Nugget Kanzler 450gr Naget Ayam,47700,Citra Rasane Food,Jakarta Barat,500,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450GR,49850,TIPTOP Online Store,Jakarta Timur,27,5.0,Kanzler,Nugget
KANZLER Crispy Chicken Nugget Stick 450gr - Naget Crispy Bentuk Stik ,39900,Sekaki Shop,Tangerang Selatan,14,5.0,Kanzler,Nugget
kanzler chicken nugget crispy,43500,UNAFA KITCHEN,Depok,100,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450 gr - Naget Ayam Krispy Premium,16900,Mozaik Frozen Mart - Frozen Food,Palembang,80,5.0,Kanzler,Nugget
kanzler sosis bockwurst 360 gr - bockwurst 360gr,46900,Aishakira online,Jakarta Timur,250,4.9,Kanzler,Sausage
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr - 1PCS,47900,Bliss Kitchen Bekasi,Bekasi,100,5.0,Kanzler,Sausage
sosis kanzler singles 65 gr - KEJU,7999,Aishakira online,Jakarta Timur,2000,5.0,Kanzler,Sausage
Sosis Kanzler Blackpepper Frankfurter Beef Sausage 300gr,39900,Bliss Kitchen Tangerang,Tangerang,60,5.0,Kanzler,Sausage
kanzler smoke beef 250gr - smokebeef 250gr,36900,Aishakira online,Jakarta Timur,1000,4.9,Kanzler,Other
chicken nugget kanzler,39000,Ratih Frozen Food,Depok,70,4.9,Kanzler,Nugget
Kanzler Chispy Chicken Nugget 450gr,39000,AA Ice Cream dan Susu,Tangerang Selatan,500,5.0,Kanzler,Nugget
chicken nugget kanzler 500gr,49000,warung hasbi,Jakarta Timur,100,4.9,Kanzler,Nugget
Sosis sapi dan ayam original Sosis Kanzler Sosis jumbo single pack 65g,7500,SinarMurni,Jakarta Pusat,2000,4.9,Kanzler,Sausage
Kanzler Chicken Cordon Bleu 300gr,51000,GUDANG-MAKANAN,Jakarta Utara,60,4.9,Kanzler,Other
Kanzler Chiken Nuget,41900,AG_Dry3,Tangerang,17,5.0,Kanzler,Nugget
Kanzler Smoked Beef 250 gr,35000,Rahmatika Freshmart,Tangerang Selatan,100,4.9,Kanzler,Other
Kanzler Crispy Chicken Nugget Stick Naget Ayam Stik Renyah 450gr,44000,King Fatih Shop,Jakarta Timur,6,5.0,Kanzler,Nugget
sosis kanzler single,7999,rizky silfi shop,Kab. Bekasi,750,5.0,Kanzler,Sausage
sosis kanzler beef cocktail 250gr,26499,Cemerlang Teknik,Tangerang,100,4.9,Kanzler,Sausage
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr - 360GR 1PCS,47900,Bliss Kitchen Jakpus,Jakarta Pusat,70,5.0,Kanzler,Sausage
Sosis Kanzler Blackpepper Frankfurter Beef Sausage 300gr,39900,Bliss Kitchen Jakpus,Jakarta Pusat,30,5.0,Kanzler,Sausage
Kanzler smoked beef / sosis / daging sapi asap kanzler,36900,Multi food jakarta,Jakarta Utara,250,5.0,Kanzler,Sausage
Kanzler Stick Crispy Chicken Nugget Stikie 450 Gram,42500,Sayur Home Delivery,Jakarta Utara,7,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450 gr,47999,Kebab Frozen Depok,Depok,100,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET CRISPY 450 GR,54740,Foodmart Semanggi,Jakarta Selatan,17,4.9,Kanzler,Nugget
KANZLER CHICKEN NUGGET CRISPY 450 GR,54750,Hypermart Balekota,Tangerang,70,4.8,Kanzler,Nugget
Kanzler Chicken Nugget 450gr | Nugget Ayam,43000,DBK Pasar Minggu,Jakarta Selatan,250,5.0,Kanzler,Nugget
Kanzler Sosis Sapi Beef cocktail Frozen Food Palembang 250 gr,37000,Mozaik Frozen Mart - Frozen Food,Palembang,90,4.9,Kanzler,Sausage
Crispy Chicken Nugget Stick Kanzler 450gr Naget Ayam,47700,Citra Rasane Food,Jakarta Barat,13,5.0,Kanzler,Nugget
Kanzler crispy chicken stik 450 g,45500,anto frozen food,Tangerang,12,4.8,Kanzler,Other
Kanzler Chicken Nugget Original 450gr,40500,MONJIE'S,Bandung,100,5.0,Kanzler,Nugget
Sosiz Kanzler 1 box isi 12,91999,rizky silfi shop,Kab. Bekasi,60,5.0,Kanzler,Other
kanzler nugget crispy 450gr,39750,Frozen minimart,Jakarta Barat,30,5.0,Kanzler,Nugget
kanzler crispy chicken nugget 450gr,40740,Faika Shop,Jakarta Timur,100,5.0,Kanzler,Nugget
kanzler chicken nuget crispy 450gr,39900,SKY FROZENFOOD,Tangerang,10,5.0,Kanzler,Nugget
sosis sapi kanzler beef cocktail sausage 500gr,53000,Bright Frozen Food,Jakarta Pusat,2000,5.0,Kanzler,Sausage
Kanzler Crispy Chicken Nugget 450 gram,41500,Via Frozen Food,Jakarta Timur,100,5.0,Kanzler,Nugget
CHEESE COCKTAIL KANZLER 500GR SOSIS KOKTAIL SAPI KEJU HALAL,46975,LatteBless,Jakarta Selatan,500,5.0,Kanzler,Sausage
Kanzler Crispy Chicken Nugget 450gr,38500,MONJIE'S,Bandung,100,5.0,Kanzler,Nugget
KANZLER Crispy Chicken Nugget 120 gr,13400,Dilla Frozen Food,Bekasi,50,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,54250,Hypermart Pejaten Village,Jakarta Selatan,70,5.0,Kanzler,Nugget
kanzler chicken cordon bleu 300gr,46999,Cemerlang Teknik,Tangerang,19,4.8,Kanzler,Other
Kanzler Crispy Chicken Nugget/Naget Ayam Krispi 120 Gr,13500,MBA Frozen Food,Surabaya,27,4.6,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450 Gram,45000,GwenOnline,Kab. Bogor,100,4.9,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 120GR,13000,Frozen Al Fatih,Jakarta Timur,100,5.0,Kanzler,Nugget
KANZLER SOSIS BEEF COCKTAIL 500 GR,27400,Madina Frost,Kab. Tangerang,750,5.0,Kanzler,Sausage
KANZLER NUGGET ORIGINAL 450G,53900,LOTTE Mart Indonesia,Jakarta Selatan,80,4.7,Kanzler,Nugget
Kanzler Chicken Cordon Bleu | Katsu Ayam Isi Keju Smoked Beef (300 gr),48500,Hijrahfood Meatshop Jaksel,Jakarta Selatan,70,5.0,Kanzler,Other
KANZLER CHICKEN CORDON BLUE 300 GR,45300,Zahra Froz,Jakarta Timur,250,4.9,Kanzler,Other
"Kanzler Chicken Nugget ORIGINAL 450gr



Kanzler Chicken ",40280,Pelangi Girls Naget 2,Depok,15,5.0,Kanzler,Nugget
Kanzler Chicken Cordon Bleu | Katsu Ayam Isi Keju Smoked Beef (300 gr),48500,Hijrahfood Meatshop Tanjung Duren Jakarta Barat,Jakarta Barat,15,5.0,Kanzler,Other
kanzler nugget crispy 120 gram,19000,floral gallery,Kab. Karawang,9,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick,45000,ALADIN SUPPLIER,Jakarta Utara,19,5.0,Kanzler,Nugget
500 GR German Sausage Beef Sosis Sapi RYOU HALAL SIAP MAKAN KANZLER,28910,ToroBeef,Jakarta Utara,100,4.8,Kanzler,Sausage
Kanzler Nugget Crispy / Nugget Ayam Krispi,45000,TokoVatraMandiri,Tangerang Selatan,40,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick | Naget Ayam Stik Renyah Premium,48850,Seven Days Healthy Frozen Store,Jakarta Timur,8,5.0,Kanzler,Nugget
kanzler crispy nugget stick 500,40500,rajawalisosisbaso,Bandung,19,5.0,Kanzler,Nugget
Sosis kanzler singles hot / original / keju / sosis kanzler premium,7900,Multi food jakarta,Jakarta Utara,60,5.0,Kanzler,Sausage
CRISPY CHICKEN NUGGET 450GR KANZLER NAGET AYAM KRISPI HALAL,38500,URBANEEDS,Jakarta Selatan,50,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,42900,beatmeatshop,Jakarta Barat,100,4.9,Kanzler,Nugget
Kanzler chicken cordon bleu / chicken cordon blue kanzler halal mui,45900,Multi Drink,Jakarta Utara,16,5.0,Kanzler,Other
Nugget Crispy - Kanzler,44000,Sakina Frozen Food,Semarang,40,4.9,Kanzler,Nugget
Chicken Nugget Double Crispy Kanzler 450gr,58100,importir daging,Jakarta Utara,30,5.0,Kanzler,Nugget
Nugget Kanzler Crispy Chicken Nugget 120gr - Nugget Kanzler,16900,Mozaik Frozen Mart - Frozen Food,Palembang,13,5.0,Kanzler,Nugget
kanzler chiken nugget,43499,Barkha Foodmart,Jakarta Barat,70,5.0,Kanzler,Nugget
Smoked Beef KANZLER @1kg,117600,Ratu Daging Tangerang,Kab. Tangerang,1000,5.0,Kanzler,Other
Kanzler Sosis Beef Cocktail Sausage 500gr,52300,HokTung Mart,Jakarta Utara,500,5.0,Kanzler,Sausage
"Kanzler Sosis Singles, Halal",8000,Brother Meat Shop,Depok,1000,5.0,Kanzler,Sausage
Frozen Food - Kanzler Sosis Beef Cocktail 250 gr,27215,Bisa-Beli,Jakarta Timur,80,5.0,Kanzler,Sausage
kanzler nugget crispy,42000,ALMASAR,Jakarta Timur,60,5.0,Kanzler,Nugget
kanzler nugget crispy bubble crumb 120gr,17500,Little Java,Bekasi,8,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET CRISPY 450 GR,54750,Hypermart Daan Mogot,Jakarta Barat,70,5.0,Kanzler,Nugget
kanzler crispy Chicken Nugget - 450 Gram,51000,annamustikashop,Jakarta Barat,16,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,54800,Hypermart Puri Indah,Jakarta Barat,100,4.8,Kanzler,Nugget
kanzler nugget crispy 450gr,43000,Frozen Food Bintara,Bekasi,70,4.9,Kanzler,Nugget
Kanzler Chicken Cordon Bleu | Ayam Keju Cheddar Smoked Beef - (300 gr),48500,Hijrahfood Meatshop Depok,Depok,22,5.0,Kanzler,Other
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,54250,Hypermart Villa Melati,Tangerang Selatan,80,5.0,Kanzler,Nugget
kanzler crispy chicken nugget 450gr,50100,DairiesMarket,Jakarta Barat,100,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Crispy,50000,STAR FOOD SHOP,Medan,7,5.0,Kanzler,Nugget
TERMURAH KANZLER CRISPY CHICKEN NUGGET,42000,J_COW,Kab. Bogor,18,5.0,Kanzler,Nugget
Kanzler Frankfurter Cocktail 500gr,41700,Kanzler RS Froz,Jakarta Timur,60,5.0,Kanzler,Other
[ VIRAL ] Kanzler Crispy Chicken Nugget Ayam Super Crispy Kanzler 120g,14900,Mandiri Frozen,Tangerang,40,4.9,Kanzler,Nugget
Kanzler Chicken Nugget Original Premium Halal Frozen 450gr,47500,Bos Sayur Buah,Jakarta Utara,13,5.0,Kanzler,Nugget
KANZLER SMOKED BEEF 250 GRAM - DAGING SAPI IRIS ASAP,35000,BINTAN Frozen Foods,Tangerang Selatan,100,5.0,Kanzler,Other
kanzler crispy chicken nugget,48000,Gichelleen shop,Denpasar,250,5.0,Kanzler,Nugget
"Sosis KANZLER SINGLES 65 gr (Siap Makan) - GOJEK,GRAB",7600,O'Suju Store,Surabaya,1000,4.9,Kanzler,Sausage
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,54250,Hypermart Daan Mogot,Jakarta Barat,30,5.0,Kanzler,Nugget
kanzler crispy chicken nugget 400gr,40698,Barkha Foodmart,Jakarta Barat,100,5.0,Kanzler,Nugget
KANZLER NUGGET CRISPY 450gr,15575,SL COFFEE STORE,Malang,50,4.9,Kanzler,Nugget
KANZLER SMOKED BEEF 250G,48900,LOTTE Mart Official,Jakarta Selatan,30,5.0,Kanzler,Other
Kanzler Crispy Chicken Nugget (450gr),40900,HNS MART,Jakarta Barat,250,5.0,Kanzler,Nugget
KANZLER NUGGET CRISPY BUBBLE CRUMB 120g ukuran kecil,14200,Madina Frost,Kab. Tangerang,18,5.0,Kanzler,Nugget
kanzler sosis beef coctail 250gr,29000,nelaeemurja77 frozenfood,Kab. Gresik,5,5.0,Kanzler,Sausage
Premium Kanzler Sosis Cheese Cocktail 1 pack 500gr,51205,Kuka Kuka Shop,Jakarta Barat,100,5.0,Kanzler,Sausage
KANZLER CHICKEN NUGGET CRISPY 450 GR,54750,Hypermart Kemang Village,Jakarta Selatan,100,4.9,Kanzler,Nugget
Kanzler Chicken Nugget Original Premium | Naget Ayam Berbumbu (450 gr),39900,Hijrahfood Meatshop Jaktim,Jakarta Timur,12,5.0,Kanzler,Nugget
CHICKEN NUGGET PREMIUM 450GR KANZLER NAGET AYAM HALAL EXTRA MEATY,55000,URBANEEDS,Jakarta Selatan,13,5.0,Kanzler,Nugget
Kanzler Sosis Sapi / Beef Cocktail 250 gr,27000,Rahmatika Freshmart,Tangerang Selatan,100,5.0,Kanzler,Sausage
KANZLER Chicken Nugget 450gr,40000,ARH Frozen Stockist,Surabaya,250,5.0,Kanzler,Nugget
KANZLER BEEF COCKTAIL SAUSAGE SOSIS SAPI 250 GRAM,27000,BINTAN Frozen Foods,Tangerang Selatan,250,5.0,Kanzler,Sausage
Kanzler chicken nugget premium 450 grm- frozen food chicken nugget,40000,cinsshops,Jakarta Pusat,30,5.0,Kanzler,Nugget
Kanzler Chicken Nugget 450gr,39000,Super Food Mania,Jakarta Timur,70,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,42000,Mahkota Frozen Mart,Jakarta Barat,100,5.0,Kanzler,Nugget
Kanzler Blackpepper Frankfurter 300gr,35700,Kanzler RS Froz,Jakarta Timur,60,5.0,Kanzler,Other
KANZLER Sosis Singles Keju 1 Box,87000,Dilla Frozen Food,Bekasi,100,5.0,Kanzler,Sausage
Smoked Beef Kanzler 1kg,117500,Mitra Segar Abadi Jakpus,Jakarta Pusat,30,5.0,Kanzler,Other
Nuget Nugget Naget Kanzler Crispy Premium Viral,44800,Ghafira Store,Jakarta Selatan,21,5.0,Kanzler,Nugget
Kanzler Naget Ayam / Chicken Nugget 450 gram,40000,Rahmatika Freshmart Jakarta Selatan,Jakarta Selatan,7,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 120 GRAM,14420,BINTAN Frozen Foods,Tangerang Selatan,50,5.0,Kanzler,Nugget
Kanzler Chicken Frankfurter Cocktail | Sosis Ayam 500gr,49000,Brother Meat Shop,Depok,500,4.9,Kanzler,Sausage
KANZLER CHICKEN NUGGET 450 GR,41000,Toko Sosis Menceng,Jakarta Barat,250,5.0,Kanzler,Nugget
Smoked Beef Kanzler @1kg - 50 Lembar,117600,Ratu Daging Jakpus,Jakarta Utara,500,5.0,Kanzler,Other
Kanzler Nugget Crispy Bubble Crumb 450gr / Kanzler Nugget Crispy 450gr,42900,Maem-mak Frozen Food,Jakarta Utara,24,5.0,Kanzler,Nugget
Kanzler Nugget Ayam Crispy Frozen Mart Frozen Food Palembang 450 gr,49900,Mozaik Frozen Mart - Frozen Food,Palembang,100,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450 GRAM,42200,ZAV Frozen Food,Bekasi,250,5.0,Kanzler,Nugget
kanzler chicken nugget / nuget ayam,41900,delightfoodies,Jakarta Utara,60,5.0,Kanzler,Nugget
kanzler sosis coctail 250gr,28000,TOKO YENTI,Bekasi,500,5.0,Kanzler,Sausage
Kanzler Premium Crispy Nugget Stick 450 Gram,41200,AG FROZEN FOOD,Jakarta Barat,13,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Beku Frozen 450 gr,40500,Happy fresh frozen,Tangerang Selatan,19,5.0,Kanzler,Nugget
nugget kanzler crispy chicken,43500,grahafortune,Tangerang Selatan,100,4.9,Kanzler,Nugget
KANZLER Crispy Chicken Nugget 450 gr,46900,sembako dan makanan ringan termurah,Depok,60,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Stick Crispy 450gr,40600,Master Frozz,Kab. Tangerang,12,5.0,Kanzler,Nugget
kanzler sosis cheese frankfurter 360gr / sosis premium kanzler cheese,44950,Fresh Multi,Jakarta Utara,100,5.0,Kanzler,Sausage
