nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk
kanzler chicken nugget,Rp40.000,P3nds Ponti,Jakarta Utara,26 terjual,5.0
KANZLER Crispy Chicken Nugget,Rp42.975,Okz Frozen Food,Kab. Sidoarjo,90+ terjual,5.0
Kanzler Chicken Nugget Crispy 450gr Naget Ayam,Rp41.000,Sinergi Pangan Frozenfood,Jakarta Timur,30+ terjual,5.0
KANZLER CRISPY CKN NUGGET 450 Gr,Rp41.400,rajawalisosisbaso,Bandung,100+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET/ORIGINAL SERIES NUGGET AYAM 450gr KRISPI,Rp39.199,Seafoodku Surabaya,Surabaya,100+ terjual,4.8
Kanzler Crispy Chicken Nugget Stick /  Stik Naget Ayam Krispy 450 gram,Rp44.290,BINTAN Frozen Foods,Tangerang Selatan,30+ terjual,5.0
KANZLER Original Premium Chicken Nugget [450 gr],Rp41.900,Okz Frozen Food,Kab. Sidoarjo,15 terjual,5.0
Kanzler nugget crispy 450 gr,Rp39.999,Emeryl,Jakarta Barat,250+ terjual,5.0
Kanzler Crispy chiken nugget 450gr,Rp41.340,Pelangi Girls Naget 2,Depok,70+ terjual,5.0
Chicken Nugget Kanzler 450gr,Rp88.000,NS Food Store,Jakarta Barat,100+ terjual,4.9
kanzler crispy chicken nugget 450gr,Rp45.000,anto frozen food,Tangerang,250+ terjual,4.9
Kanzler Crispy Chicken Nugget 450g,Rp42.700,Frozen KFF,Tangerang Selatan,1rb+ terjual,5.0
kanzler nugget crispy,Rp42.000,greenfrozen337,Jakarta Pusat,100+ terjual,5.0
Sosis Kanzler 360gr / 500gr | Beef Cheese Sausage Chicken Nugget 500,Rp39.800,Depo Susu Kelapa Gading,Jakarta Utara,9rb+ terjual,5.0
KANZLER Crispy Chicken Nugget Ayam 450gr,Rp39.500,Segaru Foods,Tangerang Selatan,6rb+ terjual,5.0
Smoked Beef Kanzler 1kg,Rp117.490,Toko Kuliner,Jakarta Barat,5rb+ terjual,5.0
Kanzler Chiken Nugget 450gr,Rp38.000,Mitra Segar Abadi Jakpus,Jakarta Pusat,100+ terjual,5.0
KANZLER Sosis Beef Cocktail Cheese Cocktail Frankfurter Cocktail 500gr,Rp46.300,Segaru Foods,Tangerang Selatan,5rb+ terjual,5.0
chicken nugget kanzler crispy 500gr,Rp52.000,warung hasbi,Jakarta Timur,250+ terjual,4.9
Kanzler Chicken Nugget 450gr,Rp41.000,INDO FROZEN,Bekasi,100+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr,Rp47.000,MajuMakmurFrozenFood,Kab. Karawang,50+ terjual,5.0
sosis cocktail kanzler/ beef cocktail sausage kenzler 500gr,Rp54.500,FOODIE MOODIE FROZEN 2,Surabaya,100+ terjual,4.9
Kanzler Smoked Beef / Daging Sapi Asap Kanzler,Rp36.900,Brother Meat Shop,Depok,500+ terjual,5.0
Kanzler Chicken Cordon Bleu Smk Beef Bratwurst Kenzler Nugget Cheese,Rp39.800,Depo Susu Kelapa Gading,Jakarta Utara,1rb+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr Naget Ayam Krispi,Rp42.900,Frozone Market Jakarta Timur,Jakarta Timur,8rb+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp38.000,Toko Kuliner,Jakarta Barat,6rb+ terjual,5.0
Kanzler Crispy Chicken Nugget,Rp39.000,Orient Food,Surabaya,1rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Ayam 450 Gram,Rp38.500,KitaKito Foods,Tangerang Selatan,3rb+ terjual,5.0
Kanzler Premium Chiken Nugget Original 45 gram,Rp39.300,AG FROZEN FOOD,Jakarta Barat,100+ terjual,5.0
Sosis Kanzler Bockwurst Beef Sausage 360gr,Rp43.900,Bliss Kitchen Jakarta,Jakarta Pusat,750+ terjual,4.9
Sosis Singles Mini Kanzler Sosis Mini singles pack 65g isi 4pc,Rp7.500,SinarMurni,Jakarta Pusat,1rb+ terjual,5.0
Kanzler Crispy Chicken Nugget 120gr - 1 Pack,Rp13.775,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,50+ terjual,4.9
Kanzler Garlic Frankfurter 300gr,Rp34.800,Kanzler RS Froz,Jakarta Timur,70+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp46.400,Hanmar Food,Pekanbaru,250+ terjual,4.9
KANZLER CRISPY CHICKEN NUGGET 450GR,Rp14.000,Gunung Batu Frozen Food,Bandung,1rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick / Naget Ayam Stik 450gr,Rp49.900,Bliss Kitchen Jaksel,Jakarta Barat,22 terjual,5.0
Kanzler Crispy Chicken Nugget 450gr,Rp42.000,arsyi frozen shop,Jakarta Timur,250+ terjual,5.0
kanzler crispy chicken nugget 500gr naget ayam 500 gram nuget halal,Rp42.000,teluk frozen,Jakarta Utara,250+ terjual,5.0
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),Rp40.900,Hijrahfood Meatshop,Jakarta Barat,10rb+ terjual,5.0
Sosis Kanzler Beef Frankfurter,Rp27.999,Orient Food,Surabaya,750+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp44.290,SAJI Frozen&Snack,Jakarta Barat,250+ terjual,5.0
BEST SELLER KANZLER - Sosis & Chicken Nugget Frozen Ready to Cook!,Rp35.625,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,250+ terjual,4.9
Kanzler Chicken Nugget Stick Crispy 450gr,Rp42.230,SAJI Frozen&Snack,Jakarta Barat,100+ terjual,4.9
KANZLER CRISPY CHICKEN STICK  450gr,Rp41.000,INDO FROZEN,Bekasi,23 terjual,5.0
Sosis Beef Cocktail Kanzler 1kg,Rp110.600,Ratu Daging Jakpus,Jakarta Utara,250+ terjual,4.9
KANZLER SINGLES SOSIS / BAKSO,Rp7.580,Foodies byarvie,Tangerang Selatan,250+ terjual,5.0
KANZLER CHICKEN NUGGET CRISPY 450 GR,Rp54.750,Hypermart Gajah Mada,Jakarta Pusat,90+ terjual,4.8
Kanzler Crispy Chicken Nugget 120gr,Rp20.000,Frogo Markett,Jakarta Utara,40+ terjual,5.0
Kanzler Garlic Frankfurter Sosis 300 gram Sausage,Rp48.000,,,70+ terjual,5.0
Kanzler Crispy Nugget 450gr,Rp41.900,3Key Frozen,Tangerang,250+ terjual,5.0
KANZLER SOSIS SINGLES GOCHUJANG 65GR SIAP MAKAN HALAL,Rp7.500,LatteBless,Jakarta Selatan,1rb+ terjual,4.9
KANZLER CHICKEN NUGGET 450GR0P,Rp38.500,micha_slicebeef,Kab. Bogor,90+ terjual,4.9
Kanzler Chicken Nugget Naget Ayam 450 g,Rp53.100,Diamond Supermarket,Jakarta Utara,70+ terjual,5.0
kanzler crispy chicken nugget,Rp39.000,Ratih Frozen Food,Depok,250+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp38.000,Toko Kuliner Jakpus,Jakarta Pusat,100+ terjual,5.0
Kanzler chicken nugget / nugget ayam premium / naget ayam kanzler,Rp41.900,Multi food jakarta,Jakarta Utara,250+ terjual,5.0
Best Seller Kanzler - Premium Sosis Kanzler & Crispy / Chicken Nugget,Rp35.625,Kuka Kuka Meat Shop Bekasi,Bekasi,50+ terjual,5.0
Kanzler Chicken Cordon Blue isi 2pcs 300gram,Rp45.600,Kuka Kuka Meat Shop,Jakarta Utara,24 terjual,4.5
Kanzler chicken nugget 450gr,Rp37.550,the winni's shop,Jakarta Timur,100+ terjual,5.0
Kanzler Cheese Cocktail Sausage | Sosis Breakfast Keju (500 gr),Rp47.000,Hijrahfood Meatshop Depok,Depok,90+ terjual,4.9
Smoked Beef KANZLER @1KG,Rp117.600,raja daging jakpus,Jakarta Pusat,70+ terjual,5.0
Kanzler Crispy Chicken Nugget 120 Gram,Rp14.500,Sayur Home Delivery,Jakarta Utara,24 terjual,5.0
KANZLER Crispy Chicken Nugget 120 Gram Frozen Food Nugget,Rp15.000,Legend of Meat,Cirebon,50+ terjual,5.0
Kanzler Nugget Crispy 450gram,Rp42.500,alia froznfoods,Depok,70+ terjual,5.0
KANZLER Sosis Beef Cocktail 500gr,Rp56.990,CAHAYA Meat n Fish,Tangerang Selatan,1rb+ terjual,5.0
CHICKEN NUGGET CRISPY BUBBLE CRUMB extra meaty frozen KANZLER 450g,Rp48.000,Goodwins Butchery,Depok,60+ terjual,4.9
BEEF COCKTAIL KANZLER 500GR / 26 PCS SOSIS KOKTAIL SAPI HALAL,Rp54.150,LatteBless,Jakarta Selatan,1rb+ terjual,5.0
KANZLER CHICKEN NUGGET CRISPY 450 GR,Rp54.740,Foodmart Atrium Senen,Jakarta Pusat,80+ terjual,5.0
KANZLER Beef Cocktail 250gr - Sosis Sapi Koktail Kanzler,Rp27.150,Disass Official,Yogyakarta,100+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr - 1 Pack,Rp45.552,Kuka Kuka Shop Tangerang,Tangerang Selatan,100+ terjual,5.0
KANZLER CHICKEN NUGGET CRISPY 450 GR,Rp54.750,Hypermart Ciledug,Tangerang,40+ terjual,5.0
KANZLER ORIGINAL PREMIUM CHICKEN NUGGET 450gr,Rp40.500,Mikie Frozen Food,Malang,30+ terjual,5.0
Sosis Sapi Kanzler Beef Cocktail 250 gram Sosis Cimory,Rp26.650,Gadsa Online Shop,Tangerang Selatan,2rb+ terjual,4.9
Kanzler Chicken Nugget 450 gr,Rp40.000,King Fresh Mart,Jakarta Barat,100+ terjual,5.0
Nugget Kanzler Crispy Chicken Nugget 450gram,Rp14.500,Disass Official,Yogyakarta,250+ terjual,5.0
Kanzler Nugget Crispy,Rp42.000,FRD Frozen Food,Jakarta Pusat,250+ terjual,4.9
kanzler nugget crispy,Rp47.500,Indo WitamaMart,Makassar,70+ terjual,5.0
Kanzler Chicken Cordon Bleu 300gr,Rp49.600,Juragan Daging Indonesia,Jakarta Selatan,13 terjual,5.0
KANZLER Chicken Nugget Premium 450gr,Rp42.000,Anugrah_Frozen,Depok,250+ terjual,5.0
STICK nugget Kanzler Crispy 450 gram,Rp41.000,Via Frozen Food,Jakarta Timur,10 terjual,5.0
Naget Kanzler Crispy 450g,Rp41.000,mulia frozen food,Surabaya,750+ terjual,5.0
Kanzler Chicken Cordon Bleu Box 2pcs,Rp47.000,AA Ice Cream dan Susu,Tangerang Selatan,90+ terjual,4.9
Kanzler Crispy Bubble Chicken Nugget 120gr,Rp17.000,GUDANG-MAKANAN,Jakarta Utara,21 terjual,5.0
kanzler nugget crispy,Rp39.540,Sinomurus Frozen,Jakarta Selatan,40+ terjual,5.0
Kanzler Beef Cocktail 18pcs 250gr,Rp26.000,AA Ice Cream dan Susu,Tangerang Selatan,100+ terjual,4.9
crispy chicken nugget kanzler 450 gram,Rp47.500,Dutarasameatshop,Surakarta,100+ terjual,5.0
Chicken Cordon Bleu Kanzler 900gr,Rp123.000,Kebab Mini Frozen Food,Jakarta Timur,30+ terjual,5.0
Kanzler Cordon Bleu 300gr,Rp49.600,Brother Meat Shop,Depok,250+ terjual,5.0
Kanzler Chicken Nugget 450g,Rp40.000,ramadhani_collections,Bandung,250+ terjual,5.0
nugget naget nuget ayam krispi crispy kanzler 120 gr chicken,Rp16.500,AdeShopmart,Kab. Sleman,21 terjual,5.0
Kanzler Beef Cocktail Sausage 250 gram,Rp28.000,PopulerCollection,Surabaya,50+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gram,Rp40.000,Fauzan Frozen Food and Snack,Bekasi,40+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450 GRAM,Rp41.950,Gemari Kitchen,Jakarta Utara,100+ terjual,5.0
Kanzler Sosis Beef Cocktail 500gr,Rp52.300,Naturallyoufm,Jakarta Utara,500+ terjual,5.0
Kanzler Crispy Chicken Nugget 120gr - 1 Pack,Rp13.775,Kuka Kuka Meat Shop,Jakarta Utara,60+ terjual,5.0
Kanzler Beef Cocktail Sausage | Sosis Sapi Breakfast Original (500 gr),Rp56.900,Hijrahfood Meatshop,Jakarta Barat,2rb+ terjual,5.0
KANZLER CRISPY CKN NUGGET 450 Gr,Rp41.400,rajawalisosisbaso,Bandung,100+ terjual,5.0
sosis ayam kanzler cheese cocktail 500gr/kanzler sosis cheese cocktail,Rp46.500,Multi food jakarta,Jakarta Utara,250+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr,Rp41.500,Selios Meat Shop,Bekasi,1 terjual,5.0
kanzler nugget crispy 450gr,Rp43.000,Sandi ajah,Jakarta Timur,,
Crispy Chicken Nugget (450 gram) - Kanzler,Rp51.000,Belanja Segar,Jakarta Utara,100+ terjual,4.9
kanzler chicken nugget 450gr,Rp39.000,Elbarra Arabian store,Bandung,23 terjual,5.0
Kanzler Crispy Chicken Nugget 450gr - 1 Pack,Rp45.552,Kuka Kuka Shop Tangerang,Tangerang Selatan,100+ terjual,5.0
KANZLER BOCKWURST / SOSIS SAPI DAN AYAM 1KG,Rp120.000,Lancar FreshMart,Jakarta Utara,750+ terjual,5.0
Kanzler Chicken Nugget / Naget Ayam with crispy bubble crumb,Rp45.900,floral gallery,Kab. Karawang,22 terjual,5.0
Kanzler Chicken Nugget Premium 450gr,Rp49.990,Master daging,Jakarta Utara,100+ terjual,5.0
Kanzler crispy nugget 120 gram,Rp15.500,anto frozen food,Tangerang,19 terjual,5.0
sosis kanzler singles mini 65 gr,Rp7.499,Dapur C'Uwhie,Jakarta Barat,4rb+ terjual,4.9
Kanzler Crispy Chicken Nugget Stick 450gr Naget Ayam Krispy Stik,Rp39.480,RIESA Mart,Tangerang Selatan,40+ terjual,5.0
kanzler crispy chicken nugget 450gr,Rp43.900,Rezeki Frozen,Jakarta Utara,50+ terjual,5.0
Kanzler Crispy Chicken Nugget 120gr,Rp17.000,Selios Meat Shop,Bekasi,,
Kanzler Crispy Chicken Nugget 120 Gr,Rp13.999,Elbarra Arabian store,Bandung,,
KANZLER CRISPY CHICKEN NUGGET - SEGARUPA FROZEN FOOD & TOKO DAGING,Rp53.000,Segarupa Frozen & Toko Daging,Jakarta Timur,,
Kanzler Chicken Nugget Original 450gr,Rp41.000,3Key Frozen,Tangerang,70+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET,Rp43.000,J_COW,Kab. Bogor,18 terjual,5.0
KANZLER SINGLES BAKSO PEDAS 55GR HOT MEATBALL SINGLE HALAL,Rp7.500,LatteBless,Jakarta Selatan,500+ terjual,4.8
Kanzler Crispy Chicken Nugget Beku Frozen 450 gr,Rp40.950,Happy fresh frozen,Tangerang Selatan,40+ terjual,4.9
Kanzler Chicken Nugget 450 gram Sayurbox,Rp60.000,Sayurbox,Jakarta Selatan,100+ terjual,5.0
Sosis Singles Gochujang Siap Makan - KANZLER,Rp7.480,Istana Frozen Mart,Bandung,19 terjual,5.0
kanzler crispy chicken nugget 450gr,Rp44.000,NeoStoreYogyakarta,Yogyakarta,7 terjual,4.6
KANZLER CHICKEN NUGGET CRISPY 450 GR,Rp54.750,Hypermart Villa Melati,Tangerang Selatan,100+ terjual,4.8
kanzler crispy chicken nugget,Rp39.000,Toko berlian sentosa,Tangerang,100+ terjual,5.0
Kanzler Beef Cocktail Sausage 250gr,Rp26.500,Elang Frozen,Bekasi,500+ terjual,5.0
Kanzler Crispy Chicken Nugget / Nugget Ayam / Naget Ayam Krispi 450gr - 450GR 1PCS,Rp45.900,Bliss Kitchen Tangerang,Tangerang,100+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick 450 gram,Rp46.000,Harish Food & Frozen,Kab. Bantul,,
Crispy Chicken Nugget / Nugget ayam - Kanzler,Rp39.000,Mazu Fish Market,Jakarta Barat,750+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr,Rp40.000,happyfrozenmart,Depok,,
1 BOX sosis kanzler singles 12pcs,Rp91.900,Aishakira online,Jakarta Timur,750+ terjual,5.0
KANZLER PREMIUM SOSIS SAPI COCKTAIL KANZLER COCKTAIL BEEF SAUSAGE 500G,Rp53.600,Bentang Frozen,Tangerang Selatan,250+ terjual,5.0
Crispy Chicken Nugget Ayam Kanzler 450gr 10pack,Rp40.488,Cemerlang Teknik,Tangerang,50+ terjual,5.0
KANZLER SOSIS SINGLES ORIGINAL - BRONTZ JOGJA,Rp7.950,BRONTZ JOGJA,Yogyakarta,28 terjual,4.8
KANZLER CRISPY CHICKEN NUGGET 450 GR,Rp14.000,Gunung Batu Frozen Food,Bandung,1rb+ terjual,5.0
Kanzler Sosis Beef Coctail 250 Gtam,Rp27.000,Syafira Susu,Jakarta Barat,100+ terjual,5.0
KANZLER SOSIS BEEF COCKTAIL SAUSAGE 250 GR26000,Rp28.620,pelangi girls naget,Jakarta Timur,250+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick 450gr,Rp47.950,Kuka Kuka Shop,Jakarta Barat,11 terjual,5.0
KANZLER CRISPY CHICKEN NUGGET STICK 450GR/NAGET AYAM STIK KRISPI,Rp41.000,mise frozen foods,Tangerang Selatan,11 terjual,5.0
[PROMO!!] Sosis Kanzler Singles 65 gr satuan - sosis siap makan baso n,Rp7.777,JM Snacks,Bandung,750+ terjual,4.9
Kanzler Sosis Ayam Rasa Keju - Cheese Cocktail 500 gram,Rp44.500,Rahmatika Freshmart,Tangerang Selatan,100+ terjual,4.9
Kanzler - SINGLES SOSIS 65gr - 1 pc Sosis Siap Makan,Rp7.000,saleseason_by_summer,Medan,100+ terjual,5.0
Kanzler Smoked BEEF - smokebeef 250gr,Rp36.900,Aishakira online,Jakarta Timur,1rb+ terjual,5.0
Kanzler Smoked Beef - 250gr,Rp45.000,WMS Meat Store,Tangerang,,
KANZLER BOCKWURST 360 GR / SOSIS SAPI ,Rp45.000,Racik Indonesia,Bandung,2 terjual,5.0
Kanzler Sosis Singles Hot 65 Gram,Rp10.600,KedaiMart Official Store,Tangerang,100+ terjual,4.8
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,Rp54.230,Foodmart Semanggi,Jakarta Selatan,17 terjual,5.0
KANZLER - Crispy CHICKEN NUGGET & Original Premium CHICKEN NUGGET,Rp50.999,saleseason_by_summer,Medan,30+ terjual,5.0
Frozen Food Kanzler Chicken Nugget Crispy 450 gr,Rp40.500,cinsshops,Jakarta Pusat,100+ terjual,4.7
Chicken Nugget Double Crispy Kanzler 450gr,Rp47.500,Ratu Daging Jakpus,Jakarta Utara,100+ terjual,5.0
GARLIC FRANKFURTER KANZLER 300GR/6PCS SOSIS SAPI BAWANG PUTIH HALAL,Rp38.900,LatteBless,Jakarta Selatan,250+ terjual,5.0
KANZLER CHICKEN NUGGET CRISPY 450 GR,Rp55.300,Hypermart Cibubur Junction,Jakarta Timur,100+ terjual,4.8
Kanzler Beef Cocktail Sausage - Sosis Sapi Breakfast Original (250 gr),Rp28.900,Hijrahfood Meatshop Jaksel,Jakarta Selatan,100+ terjual,4.9
KANZLER BEEF COCKTAIL 1KG / SOSIS KANZLER BEEF COKCTAIL ISI 80PCS,Rp116.000,Lancar FreshMart,Jakarta Utara,250+ terjual,5.0
Kanzler Smoke Beef - 250 gr,Rp35.500,King Fatih Shop,Jakarta Timur,6 terjual,5.0
kanzler bockwurst 360 gr,Rp39.000,AZEINN,Jakarta Selatan,250+ terjual,5.0
Nugget Kanzler,Rp41.500,stokis mawar,Jakarta Utara,50+ terjual,5.0
KANZLER Chicken Cordon Bleu 300gr,Rp46.000,ARH Frozen Stockist,Surabaya,250+ terjual,5.0
Sosis Ayam Cheese Cocktail Kanzler 500Gr,Rp52.000,Rhyza Olshop,Surabaya,7 terjual,5.0
Kanzler Chicken Nugget Naget Ayam Premium 450 gr,Rp47.850,Seven Days Healthy Frozen Store,Jakarta Timur,80+ terjual,5.0
KANZLER PREMIUM CHICKEN NUGGET / NAGET AYAM @450gr,Rp50.000,Dagingsegar38,Jakarta Selatan,21 terjual,4.9
"JOFRANS - Nugget AYAM / KRISPY Original, BUKAN Kanzler CRISPY . 1 KG",Rp39.990,abcXshop,Jakarta Timur,18 terjual,5.0
KANZLER CHICKEN NUGGET CRISPY 450gr,Rp14.900,Mikie Frozen Food,Malang,250+ terjual,5.0
KANZLER Crispy Chicken Nugget 120gr,Rp15.000,Anugrah_Frozen,Depok,26 terjual,5.0
Kanzler Crispy Bubble Chicken Nugget 120gr,Rp17.500,ALADIN SUPPLIER,Jakarta Utara,11 terjual,5.0
Kanzler Crispy Nugget 450gr,Rp42.500,Ola Frozenfood,Jakarta Selatan,100+ terjual,5.0
Kanzler Smoked Beef Daging Asap Smoked Beef kanzler Frozen food 1000g,Rp125.000,SinarMurni,Jakarta Pusat,21 terjual,4.8
nugget kanzler crispy bentuk STICK 450gr,Rp43.000,MBA Frozen Food,Surabaya,30+ terjual,5.0
kanzler german bratwurst 360gr,Rp43.000,Cafe Frozen,Surabaya,40+ terjual,5.0
Kanzler Black Pepper Frankfurter (Sosis Sapi Lada Hitam)300 gram,Rp36.000,Indah Frozen Food,Surabaya,100+ terjual,4.9
Kanzler Crispy Chicken Nugget,Rp53.000,Segar Laut Meat & Fish Supplier,Jakarta Barat,40+ terjual,5.0
Kanzler chicken nugget / nugget ayam premium / nugget ayam kanzler,Rp41.900,Fresh Multi,Jakarta Utara,100+ terjual,5.0
Kanzler chicken nugget original 450 gr,Rp42.000,Rumah-Sosis,Depok,100+ terjual,5.0
Kanzler Chicken Nugget Crispy (Naget Ayam Krispi) Kemasan 450gram,Rp45.500,Dunia Frozen Food & Meat,Palembang,29 terjual,5.0
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,Rp54.230,Foodmart Atrium Senen,Jakarta Pusat,15 terjual,5.0
kanzler nugget crispy 450gr,Rp41.500,FR FROZEN MART,Kab. Bogor,80+ terjual,5.0
Sosis Kanzler Single Mini 65gr 1 Box (Isi 12),Rp86.500,Frogo Markett,Jakarta Utara,100+ terjual,5.0
Nugget Ayam | Chicken Crispy Nugget 450gr KANZLER,Rp38.750,Tokoaina Frozenfood,Bekasi,24 terjual,5.0
KANZLER CHICKEN NUGGET ORIGINAL 450 GR,Rp54.250,Hypermart Gajah Mada,Jakarta Pusat,24 terjual,5.0
Kanzler Beef Cocktail Sausage Sosis Sapi Kanzler 500 gram,Rp55.000,lita frozen food,Jakarta Utara,500+ terjual,5.0
chicken cordon bleu kanzler 300gram,Rp46.000,tokoflashsalemodernland,Tangerang,50+ terjual,5.0
kanzler garlic frankfurter 300gr,Rp38.000,Frozen Food Panjunan,Bandung,,
Kanzler Beef Wiener - 360gr,Rp50.000,WMS Meat Store,Tangerang,,
Kanzler Chesee,Rp45.000,Anugerah Foods,Tangerang,1 terjual,5.0
kanzler sosis original singles 65gr/pcs,Rp8.500,beatmeatshop,Jakarta Barat,14 terjual,5.0
Kanzler Premium Sosis / Saussage Cheese Frankfurter - 360gram,Rp49.875,Kuka Kuka Meat Shop Tangerang,Tangerang Selatan,11 terjual,5.0
Kanzler Premium Sosis / Saussage Cheese Frankfurter - 360gram,Rp49.875,Kuka Kuka Meat Shop Tangerang,Tangerang Selatan,11 terjual,5.0
Kanzler Sosis Bockwurst 360g Sosis Sapi,Rp44.500,beatmeatshop,Jakarta Barat,3 terjual,
Kanzler Premium Sosis | Garlic Frankfurter 300gr,Rp43.225,Kuka Kuka Meat Shop Tangerang,Tangerang Selatan,3 terjual,5.0
Sosis Kanzler Blackpepper Frankfurter Beef Sausage 300gr,Rp39.900,Bliss Kitchen Bekasi,Bekasi,90+ terjual,5.0
kanzler smoked beef 250 gr,Rp38.900,Rezeki Frozen,Jakarta Utara,7 terjual,5.0
Crispy Chicken Nugget Kanzler 450gr Naget Ayam,Rp47.700,Citra Rasane Food,Jakarta Barat,500+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450GR,Rp49.850,TIPTOP Online Store,Jakarta Timur,27 terjual,5.0
KANZLER Crispy Chicken Nugget Stick 450gr - Naget Crispy Bentuk Stik ,Rp39.900,Sekaki Shop,Tangerang Selatan,14 terjual,5.0
kanzler chicken nugget crispy,Rp43.500,UNAFA KITCHEN,Depok,100+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr - Naget Ayam Krispy Premium,Rp16.900,Mozaik Frozen Mart - Frozen Food,Palembang,80+ terjual,5.0
kanzler sosis bockwurst 360 gr - bockwurst 360gr,Rp46.900,Aishakira online,Jakarta Timur,250+ terjual,4.9
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr - 1PCS,Rp47.900,Bliss Kitchen Bekasi,Bekasi,100+ terjual,5.0
sosis kanzler singles 65 gr - KEJU,Rp7.999,Aishakira online,Jakarta Timur,2rb+ terjual,5.0
Sosis Kanzler Blackpepper Frankfurter Beef Sausage 300gr,Rp39.900,Bliss Kitchen Tangerang,Tangerang,60+ terjual,5.0
kanzler smoke beef 250gr - smokebeef 250gr,Rp36.900,Aishakira online,Jakarta Timur,1rb+ terjual,4.9
chicken nugget kanzler,Rp39.000,Ratih Frozen Food,Depok,70+ terjual,4.9
Kanzler Chispy Chicken Nugget 450gr,Rp39.000,AA Ice Cream dan Susu,Tangerang Selatan,500+ terjual,5.0
chicken nugget kanzler 500gr,Rp49.000,warung hasbi,Jakarta Timur,100+ terjual,4.9
Sosis sapi dan ayam original Sosis Kanzler Sosis jumbo single pack 65g,Rp7.500,SinarMurni,Jakarta Pusat,2rb+ terjual,4.9
Kanzler Chicken Cordon Bleu 300gr,Rp51.000,GUDANG-MAKANAN,Jakarta Utara,60+ terjual,4.9
Kanzler Chiken Nuget,Rp41.900,AG_Dry3,Tangerang,17 terjual,5.0
Kanzler Smoked Beef 250 gr,Rp35.000,Rahmatika Freshmart,Tangerang Selatan,100+ terjual,4.9
Kanzler Crispy Chicken Nugget Stick Naget Ayam Stik Renyah 450gr,Rp44.000,King Fatih Shop,Jakarta Timur,6 terjual,5.0
sosis kanzler single,Rp7.999,rizky silfi shop,Kab. Bekasi,750+ terjual,5.0
sosis kanzler beef cocktail 250gr,Rp26.499,Cemerlang Teknik,Tangerang,100+ terjual,4.9
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr - 360GR 1PCS,Rp47.900,Bliss Kitchen Jakpus,Jakarta Pusat,70+ terjual,5.0
Sosis Kanzler Blackpepper Frankfurter Beef Sausage 300gr,Rp39.900,Bliss Kitchen Jakpus,Jakarta Pusat,30+ terjual,5.0
Kanzler smoked beef / sosis / daging sapi asap kanzler,Rp36.900,Multi food jakarta,Jakarta Utara,250+ terjual,5.0
Kanzler Stick Crispy Chicken Nugget Stikie 450 Gram,Rp42.500,Sayur Home Delivery,Jakarta Utara,7 terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp47.999,Kebab Frozen Depok,Depok,100+ terjual,5.0
KANZLER CHICKEN NUGGET CRISPY 450 GR,Rp54.740,Foodmart Semanggi,Jakarta Selatan,17 terjual,4.9
Kanzler Chicken Nugget Premium 450gr - 1 Pack,Rp45.505,Kuka Kuka Meat Shop,Jakarta Utara,50+ terjual,5.0
KANZLER CHICKEN NUGGET CRISPY 450 GR,Rp54.750,Hypermart Balekota,Tangerang,70+ terjual,4.8
Kanzler Chicken Nugget 450gr | Nugget Ayam,Rp43.000,DBK Pasar Minggu,Jakarta Selatan,250+ terjual,5.0
Kanzler Sosis Sapi Beef cocktail Frozen Food Palembang 250 gr,Rp37.000,Mozaik Frozen Mart - Frozen Food,Palembang,90+ terjual,4.9
Crispy Chicken Nugget Stick Kanzler 450gr Naget Ayam,Rp47.700,Citra Rasane Food,Jakarta Barat,13 terjual,5.0
Kanzler crispy chicken stik 450 g,Rp45.500,anto frozen food,Tangerang,12 terjual,4.8
Kanzler Chicken Nugget Original 450gr,Rp40.500,MONJIE'S,Bandung,100+ terjual,5.0
